Sentences of 106_the_poor_millers_boy_and_the_cat,RST Relation 106_the_poor_millers_boy_and_the_cat,Nuclearity,One Label
"And a short time after, when the child had been baptized, the names he had received were added, John Christopher Frederick.",Elaboration,N,NEUTRAL
And what became of the little lad?- the poor boy of the humble town of Marbach?,evaluation,S,NEUTRAL
"Ah, indeed, there was no one who thought or supposed, not even the old church bell which had been the first to sound and chime for him, that he would be the first to sing the beautiful song of The Bell.",Elaboration,S,NEUTRAL
"The boy grew apace, and the world advanced with him.",Elaboration,S,NEUTRAL
"While he was yet a child, his parents removed from Marbach, and went to reside in another town; but their dearest friends remained behind at Marbach, and therefore sometimes the mother and her son would start on a fine day to pay a visit to the little town.",Contrast,S,NEUTRAL
"The boy was at this time about six years old, and already knew a great many stories out of the Bible, and several religious psalms.",Contrast,S,NEUTRAL
"While seated in the evening on his little cane-chair, he had often heard his father read from Gellert's fables, and sometimes from Klopstock's grand poem, The Messiah.",Contrast,S,NEUTRAL
"He and his sister, two years older than himself, had often wept scalding tears over the story of Him who suffered death on the cross for us all.",Contrast,S,SADNESS
"On his first visit to Marbach, the town appeared to have changed but very little, and it was not far enough away to be forgotten.",Contrast,S,NEUTRAL
"The house, with its pointed gable, narrow windows, overhanging walls and stories, projecting one beyond another, looked just the same as in former times.",Contrast,S,NEUTRAL
"But in the churchyard there were several new graves; and there also, in the grass, close by the wall, stood the old church bell!",Contrast,S,NEUTRAL
"It had been taken down from its high position, in consequence of a crack in the metal which prevented it from ever chiming again, and a new bell now occupied its place.",Elaboration,S,NEUTRAL
"The mother and son were walking in the churchyard when they discovered the old bell, and they stood still to look at it.",Elaboration,S,NEUTRAL
Then the mother reminded her little boy of what a useful bell this had been for many hundred years.,Elaboration,S,NEUTRAL
"It had chimed for weddings and for christenings; it had tolled for funerals, and to give the alarm in case of fire.",Elaboration,S,NEUTRAL
With every event in the life of man the bell had made its voice heard.,Comparison,S,NEUTRAL
"His mother also told him how the chiming of that old bell had once filled her heart with joy and confidence, and that in the midst of the sweet tones her child had been given to her.",Elaboration,S,JOY
"And the boy gazed on the large, old bell with the deepest interest.",Elaboration,S,NEUTRAL
"He bowed his head over it and kissed it, old, thrown away, and cracked as it was, and standing there amidst the grass and nettles.",Elaboration,S,JOY
"The boy never forgot what his mother told him, and the tones of the old bell reverberated in his heart till he reached manhood.",Elaboration,S,NEUTRAL
"In such sweet remembrance was the old bell cherished by the boy, who grew up in poverty to be tall and slender, with a freckled complexion and hair almost red; but his eyes were clear and blue as the deep sea, and what was his career to be?",Contrast,N,NEUTRAL
"His career was to be good, and his future life enviable.",Elaboration,S,NEUTRAL
"We find him taking high honors at the military school in the division commanded by the member of a family high in position, and this was an honor, that is to say, good luck.",evaluation,S,-
"He wore gaiters, stiff collars, and powdered hair, and by this he was recognized; and, indeed, he might be known by the word of command- March! halt! front!",Elaboration,S,-
"The old church bell had long been quite forgotten, and no one imagined it would ever again be sent to the melting furnace to make it as it was before.",Elaboration,S,NEUTRAL
No one could possibly have foretold this.,Elaboration,S,NEUTRAL
Equally impossible would it have been to believe that the tones of the old bell still echoed in the heart of the boy from Marbach; or that one day they would ring out loud enough and strong enough to be heard all over the world.,Contrast,S,NEUTRAL
"They had already been heard in the narrow space behind the school-wall, even above the deafening sounds of March! halt! front!",Elaboration,S,NEUTRAL
"They had chimed so loudly in the heart of the youngster, that he had sung them to his companions, and their tones resounded to the very borders of the country.",Elaboration,S,NEUTRAL
"He was not a free scholar in the military school, neither was he provided with clothes or food.",Elaboration,S,NEUTRAL
"But he had his number, and his own peg; for everything here was ordered like clockwork, which we all know is of the greatest utility- people get on so much better together when their position and duties are understood.",Contrast,S,NEUTRAL
It is by pressure that a jewel is stamped.,evaluation,S,NEUTRAL
"The pressure of regularity and discipline here stamped the jewel, which in the future the world so well knew.",Elaboration,S,NEUTRAL
In the chief town of the province a great festival was being celebrated.,Elaboration,S,NEUTRAL
"The light streamed forth from thousands of lamps, and the rockets shot upwards towards the sky, filling the air with showers of colored fiery sparks.",Elaboration,S,NEUTRAL
"A record of this bright display will live in the memory of man, for through it the pupil in the military school was in tears and sorrow.",evaluation,N,SADNESS
"He had dared to attempt to reach foreign territories unnoticed, and must therefore give up fatherland, mother, his dearest friends, all, or sink down into the stream of common life.",evaluation,N,-
"The old church bell had still some comfort; it stood in the shelter of the church wall in Marbach, once so elevated, now quite forgotten.",evaluation,S,NEUTRAL
"The wind roared around it, and could have readily related the story of its origin and of its sweet chimes, and the wind could also tell of him to whom he had brought fresh air when, in the woods of a neighboring country, he had sunk down exhausted with fatigue, with no other worldly possessions than hope for the future, and a written leaf from Fiesco.",Contrast,S,NEUTRAL
"The wind could have told that his only protector was an artist, who, by reading each leaf to him, made it plain; and that they amused themselves by playing at nine-pins together.",evaluation,S,NEUTRAL
"The wind could also describe the pale fugitive, who, for weeks and months, lay in a wretched little road-side inn, where the landlord got drunk and raved, and where the merry-makers had it all their own way.",evaluation,S,NEUTRAL
"And he, the pale fugitive, sang of the ideal.",evaluation,S,NEUTRAL
"For many heavy days and dark nights the heart must suffer to enable it to endure trial and temptation; yet, amidst it all, would the minstrel sing.",evaluation,S,NEUTRAL
"Dark days and cold nights also passed over the old bell, and it noticed them not; but the bell in the man's heart felt it to be a gloomy time.",evaluation,S,SADNESS
"What would become of this young man, and what would become of the old bell?",evaluation,S,NEUTRAL
"The old bell was, after a time, carried away to a greater distance than any one, even the warder in the bell tower, ever imagined; and the bell in the breast of the young man was heard in countries where his feet had never wandered.",Contrast,N,NEUTRAL
The tones went forth over the wide ocean to every part of the round world.,evaluation,S,NEUTRAL
We will now follow the career of the old bell.,evaluation,S,NEUTRAL
"It was, as we have said, carried far away from Marbach and sold as old copper; then sent to Bavaria to be melted down in a furnace.",Contrast,N,NEUTRAL
And then what happened?,Attribution,S,NEUTRAL
"In the royal city of Bavaria, many years after the bell had been removed from the tower and melted down, some metal was required for a monument in honor of one of the most celebrated characters which a German people or a German land could produce.",Contrast,S,NEUTRAL
And now we see how wonderfully things are ordered.,evaluation,S,NEUTRAL
Strange things sometimes happen in this world.,evaluation,S,NEUTRAL
"In Denmark, in one of those green islands where the foliage of the beech-woods rustles in the wind, and where many Huns' graves may be seen, was another poor boy born.",Elaboration,S,NEUTRAL
"He wore wooden shoes, and when his father worked in a ship-yard, the boy, wrapped up in an old worn-out shawl, carried his dinner to him every day.",Elaboration,S,NEUTRAL
"This poor child was now the pride of his country; for the sculptured marble, the work of his hands, had astonished the world.* To him was offered the honor of forming from the clay, a model of the figure of him whose name, John Christopher Frederick, had been written by his father in the Bible.",Contrast,S,-
"The bust was cast in bronze, and part of the metal used for this purpose was the old church bell, whose tones had died away from the memory of those at home and elsewhere.",Elaboration,S,-
"The metal, glowing with heat, flowed into the mould, and formed the head and bust of the statue which was unveiled in the square in front of the old castle.",Elaboration,S,-
"The statue represented in living, breathing reality, the form of him who was born in poverty, the boy from Marbach, the pupil of the military school, the fugitive who struggled against poverty and oppression, from the outer world; Germany's great and immortal poet, who sung of Switzerland's deliverer, William Tell, and of the heaven-inspired Maid of Orleans.",Elaboration,S,-
* The Danish sculptor Thorwaldsen.,Elaboration,N,NEUTRAL
"It was a beautiful sunny day; flags were waving from tower and roof in royal Stuttgart, and the church bells were ringing a joyous peal.",evaluation,S,-
"One bell was silent; but it was illuminated by the bright sunshine which streamed from the head and bust of the renowned figure, of which it formed a part.",Elaboration,S,-
"On this day, just one hundred years had passed since the day on which the chiming of the old church bell at Marbach had filled the mother's heart with trust and joy- the day on which her child was born in poverty, and in a humble home; the same who, in after-years, became rich, became the noble woman-hearted poet, a blessing to the world- the glorious, the sublime, the immortal bard, John Christoper Frederick Schiller!",Contrast,N,-
Sentences of old_grav,RST Relation old_grav,Nuclearity,One Label
"IN a house, with a large courtyard, in a provincial town, at that time of the year in which people say the evenings are growing longer, a family circle were gathered together at their old home.",Contrast,N,NEUTRAL
"A lamp burned on the table, although the weather was mild and warm, and the long curtains hung down before the open windows, and without the moon shone brightly in the dark-blue sky.",Contrast,S,NEUTRAL
"But they were not talking of the moon, but of a large, old stone that lay below in the courtyard not very far from the kitchen door.",Contrast,N,NEUTRAL
"The maids often laid the clean copper saucepans and kitchen vessels on this stone, that they might dry in the sun, and the children were fond of playing on it.",Elaboration,S,-
"It was, in fact, an old grave-stone.",evaluation,N,NEUTRAL
"Yes, said the master of the house, I believe the stone came from the graveyard of the old church of the convent which was pulled down, and the pulpit, the monuments, and the grave-stones sold.",Elaboration,S,NEUTRAL
"My father bought the latter; most of them were cut in two and used for paving-stones, but that one stone was preserved whole, and laid in the courtyard.",Elaboration,S,NEUTRAL
"Any one can see that it is a grave-stone, said the eldest of the children; the representation of an hour-glass and part of the figure of an angel can still be traced, but the inscription beneath is quite worn out, excepting the name 'Preben,' and a large 'S' close by it, and a little farther down the name of 'Martha' can be easily read.",Contrast,S,NEUTRAL
"But nothing more, and even that cannot be seen unless it has been raining, or when we have washed the stone.",evaluation,N,NEUTRAL
Dear me! how singular.,evaluation,S,-
Why that must be the grave-stone of Preben Schwane and his wife.,evaluation,S,JOY
The old man who said this looked old enough to be the grandfather of all present in the room.,evaluation,S,NEUTRAL
"Yes, he continued, these people were among the last who were buried in the churchyard of the old convent.",evaluation,S,NEUTRAL
"They were a very worthy old couple, I can remember them well in the days of my boyhood.",evaluation,S,NEUTRAL
"Every one knew them, and they were esteemed by all.",Elaboration,N,NEUTRAL
"They were the oldest residents in the town, and people said they possessed a ton of gold, yet they were always very plainly dressed, in the coarsest stuff, but with linen of the purest whiteness.",Elaboration,S,NEUTRAL
"Preben and Martha were a fine old couple, and when they both sat on the bench, at the top of the steep stone steps, in front of their house, with the branches of the linden-tree waving above them, and nodded in a gentle, friendly way to passers by, it really made one feel quite happy.",Contrast,S,JOY
"They were very good to the poor; they fed them and clothed them, and in their benevolence there was judgment as well as true Christianity.",evaluation,S,-
The old woman died first; that day is still quite vividly before my eyes.,evaluation,S,NEUTRAL
"I was a little boy, and had accompanied my father to the old man's house.",evaluation,S,NEUTRAL
Martha had fallen into the sleep of death just as we arrived there.,evaluation,S,NEUTRAL
"The corpse lay in a bedroom, near to the one in which we sat, and the old man was in great distress and weeping like a child.",Elaboration,S,SADNESS
"He spoke to my father, and to a few neighbors who were there, of how lonely he should feel now she was gone, and how good and true she, his dead wife, had been during the number of years that they had passed through life together, and how they had become acquainted, and learnt to love each other.",Elaboration,S,SADNESS
"I was, as I have said, a boy, and only stood by and listened to what the others said; but it filled me with a strange emotion to listen to the old man, and to watch how the color rose in his cheeks as he spoke of the days of their courtship, of how beautiful she was, and how many little tricks he had been guilty of, that he might meet her.",Contrast,S,SADNESS
"And then he talked of his wedding-day; and his eyes brightened, and he seemed to be carried back, by his words, to that joyful time.",Elaboration,S,JOY
"And yet there she was, lying in the next room, dead- an old woman, and he was an old man, speaking of the days of hope, long passed away.",evaluation,S,NEUTRAL
"Ah, well, so it is; then I was but a child, and now I am old, as old as Preben Schwane then was.",evaluation,S,NEUTRAL
"Time passes away, and all things changed.",evaluation,S,NEUTRAL
"I can remember quite well the day on which she was buried, and how Old Preben walked close behind the coffin.",Elaboration,S,NEUTRAL
"A few years before this time the old couple had had their grave-stone prepared, with an inscription and their names, but not the date.",Elaboration,N,NEUTRAL
"In the evening the stone was taken to the churchyard, and laid on the grave.",Elaboration,S,NEUTRAL
"A year later it was taken up, that Old Preben might be laid by the side of his wife.",Contrast,S,NEUTRAL
"They did not leave behind them wealth, they left behind them far less than people had believed they possessed; what there was went to families distantly related to them, of whom, till then, no one had ever heard.",Contrast,S,NEUTRAL
"The old house, with its balcony of wickerwork, and the bench at the top of the high steps, under the lime-tree, was considered, by the road-inspectors, too old and rotten to be left standing.",Contrast,N,NEUTRAL
"Afterwards, when the same fate befell the convent church, and the graveyard was destroyed, the grave-stone of Preben and Martha, like everything else, was sold to whoever would buy it.",Elaboration,S,-
"And so it happened that this stone was not cut in two as many others had been, but now lies in the courtyard below, a scouring block for the maids, and a playground for the children.",Contrast,S,NEUTRAL
The paved street now passes over the resting place of Old Preben and his wife; no one thinks of them any more now.,Contrast,S,-
"And the old man who had spoken of all this shook his head mournfully, and said, Forgotten!",Contrast,S,SADNESS
"Ah, yes, everything will be forgotten!",Cause,S,SADNESS
And then the conversation turned on other matters.,Contrast,S,NEUTRAL
"But the youngest child in the room, a boy, with large, earnest eyes, mounted upon a chair behind the window curtains, and looked out into the yard, where the moon was pouring a flood of light on the old gravestone,- the stone that had always appeared to him so dull and flat, but which lay there now like a great leaf out of a book of history.",Contrast,S,NEUTRAL
"All that the boy had heard of Old Preben and his wife seemed clearly defined on the stone, and as he gazed on it, and glanced at the clear, bright moon shining in the pure air, it was as if the light of God's countenance beamed over His beautiful world.",Contrast,S,JOY
Forgotten!,Elaboration,N,-
"Everything will be forgotten! still echoed through the room, and in the same moment an invisible spirit whispered to the heart of the boy, Preserve carefully the seed that has been entrusted to thee, that it may grow and thrive.",Contrast,S,NEUTRAL
Guard it well.,Attribution,S,NEUTRAL
"Through thee, my child, shall the obliterated inscription on the old, weather-beaten grave-stone go forth to future generations in clear, golden characters.",Contrast,S,NEUTRAL
"The old pair shall again wander through the streets arm-in-arm, or sit with their fresh, healthy cheeks on the bench under the lime-tree, and smile and nod at rich and poor.",Contrast,S,-
The seed of this hour shall ripen in the course of years into a beautiful poem.,Contrast,S,NEUTRAL
"The beautiful and the good are never forgotten, they live always in story or in song.",evaluation,N,-
Sentences of old_sultan,RST Relation old_sultan,Nuclearity,One Label
"A shepherd had a faithful dog, called Sultan, who was grown very old, and had lost all his teeth.",Cause,S,NEUTRAL
"And one day when the shepherd and his wife were standing together before the house the shepherd said, I will shoot old Sultan tomorrow morning, for he is of no use now.",Contrast,N,NEUTRAL
"But his wife said, Pray let the poor faithful creature live; he has served us well a great many years, and we ought to give him a livelihood for the rest of his days.",Contrast,S,-
"But what can we do with him? said the shepherd, he has not a tooth in his head, and the thieves dont care for him at all; to be sure he has served us, but then he did it to earn his livelihood; tomorrow shall be his last day, depend upon it.",Contrast,S,-
"Poor Sultan, who was lying close by them, heard all that the shepherd and his wife said to one another, and was very much frightened to think tomorrow would be his last day; so in the evening he went to his good friend the wolf, who lived in the wood, and told him all his sorrows, and how his master meant to kill him in the morning.",Elaboration,S,FEAR
"Make yourself easy, said the wolf, I will give you some good advice.",Condition,S,NEUTRAL
"Your master, you know, goes out every morning very early with his wife into the field; and they take their little child with them, and lay it down behind the hedge in the shade while they are at work.",Contrast,N,NEUTRAL
"Now do you lie down close by the child, and pretend to be watching it, and I will come out of the wood and run away with it; you must run after me as fast as you can, and I will let it drop; then you may carry it back, and they will think you have saved their child, and will be so thankful to you that they will take care of you as long as you live.",evaluation,S,NEUTRAL
The dog liked this plan very well; and accordingly so it was managed.,Contrast,N,JOY
"The wolf ran with the child a little way; the shepherd and his wife screamed out; but Sultan soon overtook him, and carried the poor little thing back to his master and mistress.",Elaboration,S,-
"Then the shepherd patted him on the head, and said, Old Sultan has saved our child from the wolf, and therefore he shall live and be well taken care of, and have plenty to eat.",Contrast,S,JOY
"Wife, go home, and give him a good dinner, and let him have my old cushion to sleep on as long as he lives.",Contrast,S,-
So from this time forward Sultan had all that he could wish for.,Contrast,S,JOY
"Soon afterwards the wolf came and wished him joy, and said, Now, my good fellow, you must tell no tales, but turn your head the other way when I want to taste one of the old shepherds fine fat sheep.",Contrast,S,NEUTRAL
"No, said the Sultan; I will be true to my master.",Attribution,S,-
"However, the wolf thought he was in joke, and came one night to get a dainty morsel.",Attribution,S,NEUTRAL
"But Sultan had told his master what the wolf meant to do; so he laid wait for him behind the barn door, and when the wolf was busy looking out for a good fat sheep, he had a stout cudgel laid about his back, that combed his locks for him finely.",Contrast,S,NEUTRAL
"Then the wolf was very angry, and called Sultan an old rogue, and swore he would have his revenge.",Contrast,S,ANGER
So the next morning the wolf sent the boar to challenge Sultan to come into the wood to fight the matter.,Attribution,S,-
"Now Sultan had nobody he could ask to be his second but the shepherds old three-legged cat; so he took her with him, and as the poor thing limped along with some trouble, she stuck up her tail straight in the air.",Contrast,S,-
"The wolf and the wild boar were first on the ground; and when they espied their enemies coming, and saw the cats long tail standing straight in the air, they thought she was carrying a sword for Sultan to fight with; and every time she limped, they thought she was picking up a stone to throw at them; so they said they should not like this way of fighting, and the boar lay down behind a bush, and the wolf jumped up into a tree.",Contrast,S,FEAR
"Sultan and the cat soon came up, and looked about and wondered that no one was there.",Elaboration,S,-
"The boar, however, had not quite hidden himself, for his ears stuck out of the bush; and when he shook one of them a little, the cat, seeing something move, and thinking it was a mouse, sprang upon it, and bit and scratched it, so that the boar jumped up and grunted, and ran away, roaring out, Look up in the tree, there sits the one who is to blame.",Contrast,S,-
"So they looked up, and espied the wolf sitting amongst the branches; and they called him a cowardly rascal, and would not suffer him to come down till he was heartily ashamed of himself, and had promised to be good friends again with old Sultan.",Contrast,S,ANGER
Sentences of second_story,RST Relation second_story,Nuclearity,One Label
"When old Mr Fox was dead, the wolf came as a suitor, and knocked at the door, and the cat who was servant to Mrs Fox, opened it for him.",ROOT,N,NEUTRAL
"The wolf greeted her, and said:",Attribution,S,NEUTRAL
"Good day, Mrs Cat of Kehrewit, How comes it that alone you sit?",evaluation,S,-
What are you making good?,topic-comment,N,NEUTRAL
The cat replied:,Attribution,S,NEUTRAL
"In milk Im breaking bread so sweet, Will you be my guest, and eat?",Enablement,S,-
"No, thank you, Mrs Cat, answered the wolf.",summary,S,NEUTRAL
Is Mrs Fox not at home?,Attribution,S,NEUTRAL
The cat said:,Attribution,S,NEUTRAL
"She sits upstairs in her room, Bewailing her sorrowful doom, Bewailing her trouble so sore, For old Mr Fox is no more.",Contrast,S,SADNESS
The wolf answered:,Attribution,S,NEUTRAL
"If shes in want of a husband now, Then will it please her to step below?",evaluation,S,NEUTRAL
"The cat runs quickly up the stair, And lets her tail fly here and there, Until she comes to the parlour door.",evaluation,S,NEUTRAL
"With her five gold rings at the door she knocks: Are you within, good Mistress Fox?",temporal,S,NEUTRAL
"If youre in want of a husband now, Then will it please you to step below?",temporal,S,NEUTRAL
"Mrs Fox asked: Has the gentleman red stockings on, and has he a pointed mouth?",Contrast,N,NEUTRAL
"No, answered the cat.",Elaboration,N,NEUTRAL
Then he wont do for me.,evaluation,S,-
"When the wolf was gone, came a dog, a stag, a hare, a bear, a lion, and all the beasts of the forest, one after the other.",Elaboration,S,NEUTRAL
"But one of the good qualities which old Mr Fox had possessed, was always lacking, and the cat had continually to send the suitors away.",Contrast,S,NEUTRAL
At length came a young fox.,Background,S,NEUTRAL
"Then Mrs Fox said: Has the gentleman red stockings on, and has a little pointed mouth?",Contrast,S,NEUTRAL
"Yes, said the cat, he has.",Attribution,S,JOY
"Then let him come upstairs, said Mrs Fox, and ordered the servant to prepare the wedding feast.",Enablement,S,JOY
"Sweep me the room as clean as you can, Up with the window, fling out my old man!",Contrast,S,JOY
"For many a fine fat mouse he brought, Yet of his wife he never thought, But ate up every one he caught.",Contrast,S,-
"Then the wedding was solemnized with young Mr Fox, and there was much rejoicing and dancing; and if they have not left off, they are dancing still.",Contrast,S,JOY
Sentences of shirtcol,RST Relation shirtcol,Nuclearity,One Label
"THERE was once a fine gentleman who possessed among other things a boot-jack and a hair-brush; but he had also the finest shirt-collar in the world, and of this collar we are about to hear a story.",Contrast,N,NEUTRAL
The collar had become so old that he began to think about getting married; and one day he happened to find himself in the same washing-tub as a garter.,Elaboration,N,NEUTRAL
"Upon my word, said the shirt-collar, I have never seen anything so slim and delicate, so neat and soft before.",Contrast,S,JOY
May I venture to ask your name?,evaluation,S,NEUTRAL
"I shall not tell you, replied the garter.",evaluation,S,NEUTRAL
Where do you reside when you are at home? asked the shirt-collar.,evaluation,N,NEUTRAL
"But the garter was naturally shy, and did not know how to answer such a question.",Contrast,S,-
"I presume you are a girdle, said the shirt-collar, a sort of under girdle.",evaluation,S,NEUTRAL
"I see that you are useful, as well as ornamental, my little lady.",Contrast,S,-
"You must not speak to me, said the garter; I do not think I have given you any encouragement to do so.",evaluation,S,ANGER
"Oh, when any one is as beautiful as you are, said the shirt-collar, is not that encouragement enough?",evaluation,S,NEUTRAL
"Get away; don't come so near me, said the garter, you appear to me quite like a man.",evaluation,S,ANGER
"I am a fine gentleman certainly, said the shirt-collar, I possess a boot-jack and a hair-brush.",evaluation,S,-
"This was not true, for these things belonged to his master; but he was a boaster.",Elaboration,N,NEUTRAL
"Don't come so near me, said the garter; I am not accustomed to it.",evaluation,S,-
Affectation! said the shirt-collar.,Elaboration,S,-
"Then they were taken out of the wash-tub, starched, and hung over a chair in the sunshine, and then laid on the ironing-board.",Elaboration,S,NEUTRAL
And now came the glowing iron.,Elaboration,S,NEUTRAL
"Mistress widow, said the shirt-collar, little mistress widow, I feel quite warm.",Elaboration,S,-
"I am changing, I am losing all my creases.",evaluation,S,NEUTRAL
You are burning a hole in me.,evaluation,S,-
Ugh!,Attribution,S,-
I propose to you.,Attribution,S,NEUTRAL
"You old rag, said the flat-iron, driving proudly over the collar, for she fancied herself a steam-engine, which rolls over the railway and draws carriages.",evaluation,S,ANGER
You old rag! said she.,evaluation,N,ANGER
"The edges of the shirt-collar were a little frayed, so the scissors were brought to cut them smooth.",Elaboration,S,NEUTRAL
"Oh! exclaimed the shirt-collar, what a first-rate dancer you would make; you can stretch out your leg so well.",evaluation,S,-
I never saw anything so charming; I am sure no human being could do the same.,evaluation,S,-
"I should think not, replied the scissors.",evaluation,N,NEUTRAL
"You ought to be a countess, said the shirt collar; but all I possess consists of a fine gentleman, a boot-jack, and a comb.",evaluation,S,NEUTRAL
I wish I had an estate for your sake.,evaluation,S,-
"What! is he going to propose to me? said the scissors, and she became so angry that she cut too sharply into the shirt collar, and it was obliged to be thrown by as useless.",Contrast,S,ANGER
"I shall be obliged to propose to the hair-brush, thought the shirt collar; so he remarked one day, It is wonderful what beautiful hair you have, my little lady.",evaluation,S,NEUTRAL
Have you never thought of being engaged?,evaluation,S,NEUTRAL
"You might know I should think of it, answered the hair brush; I am engaged to the boot-jack.",evaluation,S,NEUTRAL
"Engaged! cried the shirt collar, now there is no one left to propose to; and then he pretended to despise all love-making.",Elaboration,N,SADNESS
"A long time passed, and the shirt collar was taken in a bag to the paper-mill.",Elaboration,S,NEUTRAL
"Here was a large company of rags, the fine ones lying by themselves, separated from the coarser, as it ought to be.",Contrast,S,NEUTRAL
"They had all many things to relate, especially the shirt collar, who was a terrible boaster.",evaluation,S,NEUTRAL
"I have had an immense number of love affairs, said the shirt collar, no one left me any peace.",Elaboration,S,NEUTRAL
It is true I was a very fine gentleman; quite stuck up.,evaluation,N,NEUTRAL
I had a boot-jack and a brush that I never used.,Elaboration,S,NEUTRAL
"You should have seen me then, when I was turned down.",Elaboration,S,NEUTRAL
"I shall never forget my first love; she was a girdle, so charming, and fine, and soft, and she threw herself into a washing tub for my sake.",Contrast,N,NEUTRAL
"There was a widow too, who was warmly in love with me, but I left her alone, and she became quite black.",Elaboration,S,NEUTRAL
"The next was a first-rate dancer; she gave me the wound from which I still suffer, she was so passionate.",Elaboration,S,NEUTRAL
"Even my own hair-brush was in love with me, and lost all her hair through neglected love.",Contrast,N,NEUTRAL
"Yes, I have had great experience of this kind, but my greatest grief was for the garter- the girdle I meant to say- that jumped into the wash-tub.",Elaboration,S,-
"I have a great deal on my conscience, and it is really time I should be turned into white paper.",evaluation,S,-
And the shirt collar came to this at last.,Elaboration,S,NEUTRAL
"All the rags were made into white paper, and the shirt collar became the very identical piece of paper which we now see, and on which this story is printed.",Elaboration,S,NEUTRAL
"It happened as a punishment to him, for having boasted so shockingly of things which were not true.",Elaboration,S,NEUTRAL
"And this is a warning to us, to be careful how we act, for we may some day find ourselves in the rag-bag, to be turned into white paper, on which our whole history may be written, even its most secret actions.",evaluation,S,NEUTRAL
"And it would not be pleasant to have to run about the world in the form of a piece of paper, telling everything we have done, like the boasting shirt collar.",evaluation,S,NEUTRAL
Sentences of storm_sh,RST Relation storm_sh,Nuclearity,One Label
"IN the old days, when grandpapa was quite a little boy, and ran about in little red breeches and a red coat, and a feather in his cap- for that's the costume the little boys wore in his time when they were dressed in their best- many things were very different from what they are now.",Contrast,N,NEUTRAL
"There was often a good deal of show in the streets- show that we don't see nowadays, because it has been abolished as too old-fashioned.",evaluation,N,NEUTRAL
"Still, it is very interesting to hear grandfather tell about it.",evaluation,S,NEUTRAL
"It must really have been a gorgeous sight to behold, in those days, when the shoemaker brought over the shield, when the court-house was changed.",evaluation,S,NEUTRAL
"The silken flag waved to and fro, on the shield itself a double eagle was displayed, and a big boot; the youngest lads carried the welcome, and the chest of the workmen's guild, and their shirt-sleeves were adorned with red and white ribbons; the elder ones carried drawn swords, each with a lemon stuck on its point.",Contrast,N,NEUTRAL
"There was a full band of music, and the most splendid of all the instruments was the bird, as grandfather called the big stick with the crescent on the top, and all manner of dingle-dangles hanging to it- a perfect Turkish clatter of music.",Contrast,S,NEUTRAL
"The stick was lifted high in the air, and swung up and down till it jingled again, and quite dazzled one's eyes when the sun shone on all its glory of gold, and silver, and brass.",Elaboration,N,NEUTRAL
"In front of the procession ran the Harlequin, dressed in clothes made of all kinds of colored patches artfully sewn together, with a black face, and bells on his head like a sledge horse.",Contrast,N,NEUTRAL
"He beat the people with his bat, which made a great clattering without hurting them, and the people would crowd together and fall back, only to advance again the next moment.",Elaboration,S,NEUTRAL
"Little boys and girls fell over their own toes into the gutter, old women dispensed digs with their elbows, and looked sour, and took snuff.",Elaboration,S,NEUTRAL
"One laughed, another chatted; the people thronged the windows and door-steps, and even all the roofs.",Elaboration,S,NEUTRAL
"The sun shone; and although they had a little rain too, that was good for the farmer; and when they got wetted thoroughly, they only thought what a blessing it was for the country.",Elaboration,N,NEUTRAL
And what stories grandpapa could tell!,Elaboration,N,JOY
As a little boy he had seen all these fine doings in their greatest pomp.,Contrast,S,NEUTRAL
"The oldest of the policemen used to make a speech from the platform on which the shield was hung up, and the speech was in verse, as if it had been made by a poet, as, indeed it had; for three people had concocted it together, and they had first drunk a good bowl of punch, so that the speech might turn out well.",Contrast,S,NEUTRAL
"And the people gave a cheer for the speech, but they shouted much louder for the Harlequin, when he appeared in front of the platform, and made a grimace at them.",Elaboration,S,NEUTRAL
"The fools played the fool most admirably, and drank mead out of spirit-glasses, which they then flung among the crowd, by whom they were caught up.",Elaboration,S,NEUTRAL
"Grandfather was the possessor of one of these glasses, which had been given him by a working mason, who had managed to catch it.",Elaboration,S,NEUTRAL
Such a scene was really very pleasant; and the shield on the new court-house was hung with flowers and green wreaths.,Elaboration,S,NEUTRAL
"One never forgets a feast like that, however old one may grow, said grandfather.",Elaboration,S,-
"Nor did he forget it, though he saw many other grand spectacles in his time, and could tell about them too; but it was most pleasant of all to hear him tell about the shield that was brought in the town from the old to the new court-house.",Contrast,S,NEUTRAL
"Once, when he was a little boy, grandpapa had gone with his parents to see this festivity.",Elaboration,S,NEUTRAL
He had never yet been in the metropolis of the country.,Elaboration,S,NEUTRAL
"There were so many people in the streets, that he thought that the shield was being carried.",Elaboration,S,NEUTRAL
"There were many shields to be seen; a hundred rooms might have been filled with pictures, if they had been hung up inside and outside.",Elaboration,S,NEUTRAL
"At the tailor's were pictures of all kinds of clothing, to show that he could stitch up people from the coarsest to the finest; at the tobacco manufacturer's were pictures of the most charming little boys, smoking cigars, just as they do in reality; there were signs with painted butter, and herring, clerical collars, and coffins, and inscriptions and announcements into the bargain.",Contrast,S,NEUTRAL
"A person could walk up and down for a whole day through the streets, and tire himself out with looking at the pictures; and then he would know all about what people lived in the houses, for they had hung out their shields or signs; and, as grandfather said, it was a very instructive thing, in a great town, to know at once who the inhabitants were.",Contrast,S,NEUTRAL
"And this is what happened with these shields, when grandpapa came to the town.",evaluation,N,NEUTRAL
